local_date,label,country
2020-01-02,Public Holiday,botswana
2020-04-14,Good Friday,botswana
2020-04-15,Public Holiday,botswana
2020-04-17,Easter Monday,botswana
2020-05-01,May Day/Labour Day,botswana
2020-05-25,Ascension Day,botswana
2020-07-01,Sir Seretse Khama Day,botswana
2020-07-17,President's Day,botswana
2020-07-18,Public Holiday,botswana
2020-09-30,Botswana Day,botswana
2020-10-02,Public Holiday,botswana
2020-12-25,Christmas Day,botswana
2020-12-26,Boxing Day,botswana
2020-01-01,New Year,botswana
